ORDER_ID,CUSTOMER_ID,ORDER_DATE,PRODUCT,QUANTITY,UNIT_PRICE,REGION
ORD-021,CUST-120,2024-03-01,Gaming Laptop,1,1899.99,North America
ORD-022,CUST-121,2024-03-03,Wireless Keyboard,3,79.99,Europe
ORD-023,CUST-122,2024-03-05,4K Monitor,2,549.99,Asia Pacific
ORD-024,CUST-123,2024-03-07,USB Microphone,4,129.99,North America
ORD-025,CUST-124,2024-03-10,Ergonomic Chair,1,449.99,Europe
ORD-026,CUST-125,2024-03-12,Desk Lamp LED,6,39.99,Asia Pacific
ORD-027,CUST-126,2024-03-15,Portable Charger,8,49.99,North America
ORD-028,CUST-127,2024-03-18,Smart Watch,2,299.99,Europe
ORD-029,CUST-128,2024-03-20,Tablet Pro,1,799.99,Asia Pacific
ORD-030,CUST-129,2024-03-22,Wireless Earbuds,5,159.99,North America
